WordNet ID,Name,Clutter,Difficulty,Scale,CNN similarity: highest ranked,Human similarity: highest ranked,Semantic similarity: highest ranked
n02096585,Boston_bull,1.1641,0.2000,0.5356,"Boston_bull, French_bulldog, American_Staffordshire_terrier, boxer, Great_Dane","Dandie_Dinmont, cocker_spaniel, Welsh_springer_spaniel, EntleBucher, Boston_bull","Boston_bull, Norwich_terrier, Scotch_terrier, Staffordshire_bullterrier, American_Staffordshire_terrier"
n02097047,miniature_schnauzer,0.8378,0.3600,0.5280,"miniature_schnauzer, standard_schnauzer, giant_schnauzer, cairn, Tibetan_terrier","miniature_schnauzer, Bernese_mountain_dog, EntleBucher, Appenzeller, miniature_poodle","miniature_schnauzer, giant_schnauzer, standard_schnauzer, Kerry_blue_terrier, Airedale"
n02097130,giant_schnauzer,1.4185,0.4800,0.5405,"giant_schnauzer, Bouvier_des_Flandres, Scotch_terrier, Kerry_blue_terrier, miniature_schnauzer","giant_schnauzer, Kerry_blue_terrier, French_bulldog, curly-coated_retriever, affenpinscher","giant_schnauzer, miniature_schnauzer, standard_schnauzer, Boston_bull, Norwich_terrier"
n02097209,standard_schnauzer,1.0330,0.2400,0.6802,"standard_schnauzer, miniature_schnauzer, giant_schnauzer, cairn, Kerry_blue_terrier","standard_schnauzer, EntleBucher, Dandie_Dinmont, schipperke, Border_collie","standard_schnauzer, miniature_schnauzer, giant_schnauzer, Boston_bull, Norwich_terrier"
n02097298,Scotch_terrier,1.3382,0.3000,0.5387,"Scotch_terrier, giant_schnauzer, groenendael, cairn, West_Highland_white_terrier","Scotch_terrier, Dandie_Dinmont, Samoyed, Newfoundland, kuvasz","Scotch_terrier, Norwich_terrier, cairn, Boston_bull, miniature_schnauzer"
n02097474,Tibetan_terrier,0.7889,0.5306,0.6263,"Tibetan_terrier, briard, Lhasa, Shih-Tzu, Bouvier_des_Flandres","Tibetan_terrier, Dandie_Dinmont, kuvasz, chow, Maltese_dog","Tibetan_terrier, Dandie_Dinmont, Bedlington_terrier, Lhasa, West_Highland_white_terrier"
n02097658,silky_terrier,0.9757,0.4000,0.5434,"silky_terrier, Yorkshire_terrier, Australian_terrier, Norwich_terrier, Irish_terrier","Japanese_spaniel, Dandie_Dinmont, Pomeranian, chow, silky_terrier","silky_terrier, Norwich_terrier, cairn, miniature_schnauzer, Boston_bull"
n02098105,soft-coated_wheaten_terrier,1.3867,0.3400,0.5047,"soft-coated_wheaten_terrier, Irish_terrier, Norfolk_terrier, Lakeland_terrier, Airedale","Dandie_Dinmont, chow, Maltese_dog, soft-coated_wheaten_terrier, otterhound","soft-coated_wheaten_terrier, Border_terrier, Boston_bull, Lakeland_terrier, Sealyham_terrier"
n02098286,West_Highland_white_terrier,1.2044,0.1800,0.4526,"West_Highland_white_terrier, Scotch_terrier, Australian_terrier, cairn, Old_English_sheepdog","West_Highland_white_terrier, Dandie_Dinmont, chow, Eskimo_dog, Norfolk_terrier","West_Highland_white_terrier, Norwich_terrier, cairn, Boston_bull, miniature_schnauzer"
n02098413,Lhasa,1.0315,0.5200,0.6495,"Lhasa, Shih-Tzu, Tibetan_terrier, Maltese_dog, Dandie_Dinmont","Dandie_Dinmont, West_Highland_white_terrier, chow, Japanese_spaniel, Maltese_dog","Lhasa, Norwich_terrier, cairn, Boston_bull, miniature_schnauzer"
n02099267,flat-coated_retriever,0.9821,0.3800,0.5553,"flat-coated_retriever, Chesapeake_Bay_retriever, Newfoundland, curly-coated_retriever, affenpinscher","flat-coated_retriever, curly-coated_retriever, Newfoundland, EntleBucher, Rhodesian_ridgeback","flat-coated_retriever, curly-coated_retriever, Chesapeake_Bay_retriever, Labrador_retriever, golden_retriever"
n02099429,curly-coated_retriever,1.4986,0.3800,0.6602,"curly-coated_retriever, Bouvier_des_Flandres, Irish_water_spaniel, standard_poodle, flat-coated_retriever","curly-coated_retriever, Newfoundland, flat-coated_retriever, otterhound, EntleBucher","curly-coated_retriever, flat-coated_retriever, golden_retriever, Labrador_retriever, Chesapeake_Bay_retriever"
n02099601,golden_retriever,0.8517,0.2800,0.5998,"golden_retriever, cocker_spaniel, kuvasz, chow, Great_Pyrenees","golden_retriever, cocker_spaniel, EntleBucher, Welsh_springer_spaniel, Rhodesian_ridgeback","golden_retriever, curly-coated_retriever, Chesapeake_Bay_retriever, Labrador_retriever, flat-coated_retriever"
n02099712,Labrador_retriever,1.0225,0.2600,0.5626,"Labrador_retriever, Great_Dane, cocker_spaniel, kelpie, flat-coated_retriever","EntleBucher, Rottweiler, Cardigan, otterhound, Border_collie","Labrador_retriever, curly-coated_retriever, Chesapeake_Bay_retriever, golden_retriever, flat-coated_retriever"
n02099849,Chesapeake_Bay_retriever,1.3777,0.3600,0.4616,"Chesapeake_Bay_retriever, Rhodesian_ridgeback, vizsla, redbone, flat-coated_retriever","Rhodesian_ridgeback, miniature_pinscher, basset, Chesapeake_Bay_retriever, Irish_setter","Chesapeake_Bay_retriever, curly-coated_retriever, Labrador_retriever, golden_retriever, flat-coated_retriever"
n02100236,German_short-haired_pointer,1.0064,0.2857,0.5747,"German_short-haired_pointer, bluetick, Great_Dane, Rhodesian_ridgeback, English_foxhound","German_short-haired_pointer, Rhodesian_ridgeback, EntleBucher, miniature_pinscher, dingo","German_short-haired_pointer, vizsla, Gordon_setter, English_setter, Irish_setter"
n02100583,vizsla,1.1347,0.3200,0.4776,"vizsla, Rhodesian_ridgeback, redbone, Chesapeake_Bay_retriever, bloodhound","Rhodesian_ridgeback, vizsla, miniature_pinscher, redbone, English_foxhound","vizsla, German_short-haired_pointer, Gordon_setter, Irish_setter, English_setter"
n02100735,English_setter,1.1574,0.3600,0.5547,"English_setter, cocker_spaniel, Brittany_spaniel, English_springer, borzoi","EntleBucher, curly-coated_retriever, otterhound, briard, English_setter","English_setter, Irish_setter, Gordon_setter, German_short-haired_pointer, vizsla"
n02100877,Irish_setter,1.0580,0.3200,0.6159,"Irish_setter, Sussex_spaniel, cocker_spaniel, Irish_water_spaniel, Afghan_hound","Irish_setter, Rhodesian_ridgeback, redbone, Brittany_spaniel, black-and-tan_coonhound","Irish_setter, Gordon_setter, English_setter, vizsla, German_short-haired_pointer"
n02101006,Gordon_setter,1.1429,0.2200,0.5622,"Gordon_setter, black-and-tan_coonhound, Rottweiler, Doberman, briard","Gordon_setter, EntleBucher, Rottweiler, Appenzeller, Newfoundland","Gordon_setter, Irish_setter, English_setter, German_short-haired_pointer, vizsla"
n02101388,Brittany_spaniel,0.8381,0.2653,0.5756,"Brittany_spaniel, English_setter, cocker_spaniel, Welsh_springer_spaniel, clumber","Brittany_spaniel, cocker_spaniel, Irish_setter, miniature_pinscher, redbone","Brittany_spaniel, Sussex_spaniel, cocker_spaniel, Irish_water_spaniel, Welsh_springer_spaniel"
n02101556,clumber,1.2121,0.1600,0.5755,"clumber, English_setter, Brittany_spaniel, Lhasa, borzoi","Dandie_Dinmont, clumber, miniature_poodle, Welsh_springer_spaniel, cocker_spaniel","clumber, cocker_spaniel, Brittany_spaniel, English_springer, Welsh_springer_spaniel"
n02102040,English_springer,1.1100,0.2000,0.4926,"English_springer, English_setter, German_short-haired_pointer, bluetick, cocker_spaniel","EntleBucher, English_springer, Rhodesian_ridgeback, miniature_pinscher, redbone","English_springer, Welsh_springer_spaniel, clumber, cocker_spaniel, Brittany_spaniel"
n02102177,Welsh_springer_spaniel,0.9386,0.1400,0.4888,"Welsh_springer_spaniel, Blenheim_spaniel, Brittany_spaniel, papillon, cocker_spaniel","Welsh_springer_spaniel, Rhodesian_ridgeback, EntleBucher, Border_collie, black-and-tan_coonhound","Welsh_springer_spaniel, English_springer, Irish_water_spaniel, Sussex_spaniel, cocker_spaniel"
n02102318,cocker_spaniel,0.8881,0.4167,0.6580,"cocker_spaniel, Sussex_spaniel, Irish_setter, golden_retriever, English_setter","cocker_spaniel, Dandie_Dinmont, EntleBucher, Rhodesian_ridgeback, otterhound","cocker_spaniel, Sussex_spaniel, Brittany_spaniel, Irish_water_spaniel, Welsh_springer_spaniel"
n02102480,Sussex_spaniel,1.4400,0.3673,0.6141,"Sussex_spaniel, cocker_spaniel, Irish_setter, Afghan_hound, curly-coated_retriever","cocker_spaniel, Rhodesian_ridgeback, otterhound, EntleBucher, curly-coated_retriever","Sussex_spaniel, cocker_spaniel, Brittany_spaniel, Irish_water_spaniel, Welsh_springer_spaniel"
n02102973,Irish_water_spaniel,1.9390,0.1400,0.6871,"Irish_water_spaniel, curly-coated_retriever, Irish_setter, Bouvier_des_Flandres, briard","Irish_water_spaniel, curly-coated_retriever, Newfoundland, Kerry_blue_terrier, Norwegian_elkhound","Irish_water_spaniel, Sussex_spaniel, cocker_spaniel, Welsh_springer_spaniel, Brittany_spaniel"
n02104029,kuvasz,1.3059,0.5200,0.5698,"kuvasz, Great_Pyrenees, golden_retriever, Eskimo_dog, white_wolf","kuvasz, Dandie_Dinmont, Samoyed, Eskimo_dog, West_Highland_white_terrier","kuvasz, schipperke, miniature_pinscher, affenpinscher, Doberman"
n02104365,schipperke,1.6881,0.2245,0.5406,"schipperke, groenendael, kelpie, miniature_pinscher, Doberman","EntleBucher, schipperke, Scotch_terrier, Samoyed, miniature_poodle","schipperke, Doberman, kuvasz, miniature_pinscher, affenpinscher"
n02105056,groenendael,1.3839,0.3600,0.5803,"groenendael, schipperke, kelpie, Scotch_terrier, giant_schnauzer","groenendael, Scotch_terrier, Samoyed, EntleBucher, Dandie_Dinmont","groenendael, malinois, Bouvier_des_Flandres, briard, collie"
n02105162,malinois,1.1426,0.1200,0.5571,"malinois, German_shepherd, Norwegian_elkhound, Rhodesian_ridgeback, red_fox","Rhodesian_ridgeback, EntleBucher, redbone, Rottweiler, black-and-tan_coonhound","malinois, groenendael, Bouvier_des_Flandres, briard, collie"
n02105251,briard,1.4023,0.5800,0.6169,"briard, Tibetan_terrier, otterhound, Irish_terrier, Afghan_hound","briard, EntleBucher, Dandie_Dinmont, Eskimo_dog, Newfoundland","briard, Bouvier_des_Flandres, komondor, Old_English_sheepdog, Rottweiler"
n02105412,kelpie,1.0156,0.3878,0.5537,"kelpie, Ibizan_hound, schipperke, groenendael, Great_Dane","EntleBucher, Rottweiler, Rhodesian_ridgeback, kelpie, Bernese_mountain_dog","kelpie, Bouvier_des_Flandres, malinois, briard, komondor"
n02105505,komondor,2.1845,0.1600,0.6557,"komondor, Old_English_sheepdog, Sealyham_terrier, otterhound, West_Highland_white_terrier","EntleBucher, Dandie_Dinmont, komondor, kuvasz, Norfolk_terrier","komondor, Bouvier_des_Flandres, briard, Rottweiler, Border_collie"
n02105641,Old_English_sheepdog,1.6419,0.1429,0.5451,"Old_English_sheepdog, komondor, Sealyham_terrier, West_Highland_white_terrier, Scotch_terrier","Dandie_Dinmont, West_Highland_white_terrier, chow, Old_English_sheepdog, kuvasz","Old_English_sheepdog, Bouvier_des_Flandres, briard, Rottweiler, Border_collie"
n02105855,Shetland_sheepdog,1.3582,0.3469,0.5738,"Shetland_sheepdog, collie, malamute, Eskimo_dog, Siberian_husky","Dandie_Dinmont, chow, Cardigan, EntleBucher, Eskimo_dog","Shetland_sheepdog, Bouvier_des_Flandres, collie, Old_English_sheepdog, komondor"
n02106030,collie,1.0116,0.5800,0.6527,"collie, Shetland_sheepdog, Border_collie, briard, papillon","collie, EntleBucher, Dandie_Dinmont, Eskimo_dog, Samoyed","collie, Bouvier_des_Flandres, groenendael, Border_collie, German_shepherd"
n02106166,Border_collie,0.8039,0.2400,0.5579,"Border_collie, collie, kelpie, Shetland_sheepdog, Sussex_spaniel","Border_collie, Dandie_Dinmont, Welsh_springer_spaniel, EntleBucher, Cardigan","Border_collie, Bouvier_des_Flandres, groenendael, malinois, German_shepherd"
n02106382,Bouvier_des_Flandres,1.8569,0.4400,0.5664,"Bouvier_des_Flandres, giant_schnauzer, Kerry_blue_terrier, standard_poodle, Tibetan_terrier","EntleBucher, Bouvier_des_Flandres, Scotch_terrier, Newfoundland, briard","Bouvier_des_Flandres, malinois, Shetland_sheepdog, German_shepherd, groenendael"
n02106550,Rottweiler,0.9675,0.2200,0.6068,"Rottweiler, black-and-tan_coonhound, Doberman, Gordon_setter, flat-coated_retriever","Rottweiler, EntleBucher, Appenzeller, Walker_hound, Bernese_mountain_dog","Rottweiler, Bouvier_des_Flandres, briard, kelpie, komondor"
n02106662,German_shepherd,1.1263,0.3400,0.6024,"German_shepherd, Norwegian_elkhound, malinois, malamute, muzzle","German_shepherd, EntleBucher, Cardigan, Rottweiler, Saint_Bernard","German_shepherd, Bouvier_des_Flandres, briard, Rottweiler, Border_collie"
n02107142,Doberman,0.9860,0.4600,0.5444,"Doberman, miniature_pinscher, black-and-tan_coonhound, Rottweiler, toy_terrier","Doberman, Rhodesian_ridgeback, redbone, Rottweiler, EntleBucher","Doberman, affenpinscher, miniature_pinscher, kuvasz, schipperke"
n02107312,miniature_pinscher,1.2213,0.4400,0.5558,"miniature_pinscher, Doberman, toy_terrier, black-and-tan_coonhound, Italian_greyhound","miniature_pinscher, Rhodesian_ridgeback, EntleBucher, cocker_spaniel, redbone","miniature_pinscher, affenpinscher, Doberman, kuvasz, schipperke"
n02107574,Greater_Swiss_Mountain_dog,1.1083,0.4800,0.4911,"Greater_Swiss_Mountain_dog, Appenzeller, EntleBucher, Bernese_mountain_dog, Rottweiler","EntleBucher, Rottweiler, Bernese_mountain_dog, briard, Appenzeller","Greater_Swiss_Mountain_dog, EntleBucher, Bernese_mountain_dog, Appenzeller, schipperke"
n02107683,Bernese_mountain_dog,1.1404,0.0851,0.5499,"Bernese_mountain_dog, Appenzeller, Greater_Swiss_Mountain_dog, EntleBucher, Border_collie","Bernese_mountain_dog, EntleBucher, Rottweiler, Tibetan_mastiff, Welsh_springer_spaniel","Bernese_mountain_dog, EntleBucher, Greater_Swiss_Mountain_dog, Appenzeller, schipperke"
n02107908,Appenzeller,0.8976,0.7200,0.5282,"Appenzeller, Greater_Swiss_Mountain_dog, EntleBucher, Bernese_mountain_dog, Rottweiler","Appenzeller, EntleBucher, Rottweiler, Bernese_mountain_dog, Gordon_setter","Appenzeller, Greater_Swiss_Mountain_dog, Bernese_mountain_dog, EntleBucher, schipperke"
n02108000,EntleBucher,0.8488,0.4000,0.6138,"EntleBucher, Appenzeller, Greater_Swiss_Mountain_dog, Bernese_mountain_dog, Gordon_setter","EntleBucher, Rottweiler, briard, toy_terrier, Border_collie","EntleBucher, Greater_Swiss_Mountain_dog, Bernese_mountain_dog, Appenzeller, schipperke"
n02108089,boxer,1.0037,0.3800,0.5714,"boxer, American_Staffordshire_terrier, Great_Dane, Staffordshire_bullterrier, Rhodesian_ridgeback","Walker_hound, EntleBucher, black-and-tan_coonhound, boxer, Rottweiler","boxer, schipperke, collie, Shetland_sheepdog, kuvasz"
n02108422,bull_mastiff,1.0392,0.1837,0.6397,"bull_mastiff, American_Staffordshire_terrier, boxer, bloodhound, Great_Dane","Rhodesian_ridgeback, bull_mastiff, EntleBucher, Cardigan, dhole","bull_mastiff, schipperke, collie, Bouvier_des_Flandres, kuvasz"
n02108551,Tibetan_mastiff,1.2842,0.1200,0.6671,"Tibetan_mastiff, Newfoundland, Sussex_spaniel, Persian_cat, curly-coated_retriever","Tibetan_mastiff, EntleBucher, Bernese_mountain_dog, cocker_spaniel, Newfoundland","Tibetan_mastiff, schipperke, collie, Shetland_sheepdog, kuvasz"
n02108915,French_bulldog,1.1652,0.2800,0.5875,"French_bulldog, Boston_bull, American_Staffordshire_terrier, pug, boxer","French_bulldog, Dandie_Dinmont, Newfoundland, Eskimo_dog, briard","French_bulldog, schipperke, collie, Shetland_sheepdog, kuvasz"
n02109047,Great_Dane,1.4460,0.6000,0.6410,"Great_Dane, American_Staffordshire_terrier, boxer, Staffordshire_bullterrier, Rhodesian_ridgeback","EntleBucher, Rhodesian_ridgeback, black-and-tan_coonhound, Great_Dane, otterhound","Great_Dane, schipperke, collie, Bouvier_des_Flandres, miniature_pinscher"
n02109525,Saint_Bernard,1.0436,0.0800,0.6398,"Saint_Bernard, Welsh_springer_spaniel, Blenheim_spaniel, papillon, Cardigan","Saint_Bernard, German_shepherd, black-and-tan_coonhound, EntleBucher, Cardigan","Saint_Bernard, schipperke, collie, Shetland_sheepdog, kuvasz"
n02109961,Eskimo_dog,1.2790,0.6800,0.5942,"Eskimo_dog, Siberian_husky, malamute, dogsled, Shetland_sheepdog","Eskimo_dog, Dandie_Dinmont, Samoyed, kuvasz, West_Highland_white_terrier","Eskimo_dog, schipperke, collie, Bouvier_des_Flandres, kuvasz"
n02110063,malamute,1.5788,0.4082,0.5169,"malamute, Eskimo_dog, Siberian_husky, Norwegian_elkhound, Shetland_sheepdog","malamute, Dandie_Dinmont, kuvasz, Eskimo_dog, chow","malamute, Siberian_husky, schipperke, collie, kuvasz"
n02110185,Siberian_husky,1.4694,0.4286,0.6211,"Siberian_husky, Eskimo_dog, malamute, dogsled, Shetland_sheepdog","Siberian_husky, EntleBucher, malamute, Cardigan, Rottweiler","Siberian_husky, malamute, schipperke, collie, affenpinscher"
n02110341,dalmatian,1.2554,0.0612,0.5321,"dalmatian, Great_Dane, sunglasses, Arctic_fox, dogsled","dalmatian, Siberian_husky, golden_retriever, malamute, Dandie_Dinmont","dalmatian, Italian_greyhound, Rhodesian_ridgeback, briard, groenendael"
n02110627,affenpinscher,1.1457,0.2600,0.6995,"affenpinscher, Bouvier_des_Flandres, flat-coated_retriever, giant_schnauzer, Tibetan_terrier","affenpinscher, Scotch_terrier, miniature_poodle, briard, French_bulldog","affenpinscher, miniature_pinscher, Doberman, kuvasz, schipperke"
n02110806,basenji,1.0480,0.1837,0.5849,"basenji, toy_terrier, Cardigan, Ibizan_hound, kelpie","basenji, redbone, English_foxhound, black-and-tan_coonhound, Rhodesian_ridgeback","basenji, Italian_greyhound, Rhodesian_ridgeback, briard, Rottweiler"
n02110958,pug,1.4168,0.1224,0.5339,"pug, French_bulldog, boxer, muzzle, Boston_bull","cocker_spaniel, EntleBucher, German_shepherd, Rottweiler, pug","pug, Italian_greyhound, Rhodesian_ridgeback, briard, Rottweiler"
n02111129,Leonberg,2.5471,0.0417,0.5054,"Leonberg, briard, malinois, affenpinscher, Border_terrier","miniature_poodle, Rhodesian_ridgeback, EntleBucher, otterhound, miniature_pinscher","Leonberg, Italian_greyhound, briard, Rhodesian_ridgeback, German_shepherd"
n02111277,Newfoundland,1.4780,0.1837,0.5841,"Newfoundland, flat-coated_retriever, groenendael, curly-coated_retriever, affenpinscher","Newfoundland, briard, Dandie_Dinmont, curly-coated_retriever, EntleBucher","Newfoundland, Italian_greyhound, Rhodesian_ridgeback, briard, Rottweiler"
n02111500,Great_Pyrenees,1.5224,0.3200,0.4836,"Great_Pyrenees, kuvasz, Irish_wolfhound, golden_retriever, Eskimo_dog","Dandie_Dinmont, Great_Pyrenees, West_Highland_white_terrier, Maltese_dog, cocker_spaniel","Great_Pyrenees, Italian_greyhound, Rhodesian_ridgeback, briard, malinois"
n02111889,Samoyed,1.6608,0.1000,0.4895,"Samoyed, Eskimo_dog, white_wolf, Siberian_husky, Great_Pyrenees","Samoyed, Eskimo_dog, kuvasz, Dandie_Dinmont, malamute","Samoyed, chow, Pomeranian, keeshond, Italian_greyhound"
n02112018,Pomeranian,1.3336,0.1600,0.5952,"Pomeranian, chow, keeshond, Persian_cat, Pekinese","Pomeranian, Dandie_Dinmont, Japanese_spaniel, West_Highland_white_terrier, chow","Pomeranian, keeshond, Samoyed, chow, Italian_greyhound"
n02112137,chow,1.3159,0.2000,0.6895,"chow, golden_retriever, Pomeranian, Lakeland_terrier, Border_terrier","Dandie_Dinmont, chow, West_Highland_white_terrier, Pomeranian, kuvasz","chow, Samoyed, Pomeranian, keeshond, Italian_greyhound"
n02112350,keeshond,1.3059,0.1600,0.6377,"keeshond, malamute, Norwegian_elkhound, Pomeranian, Eskimo_dog","Dandie_Dinmont, keeshond, Cardigan, chow, otterhound","keeshond, Samoyed, Pomeranian, chow, Italian_greyhound"
n02112706,Brabancon_griffon,0.7256,0.2800,0.6266,"Brabancon_griffon, Rhodesian_ridgeback, Border_terrier, miniature_pinscher, Doberman","EntleBucher, Brabancon_griffon, Appenzeller, Gordon_setter, Rottweiler","Brabancon_griffon, Italian_greyhound, briard, Rhodesian_ridgeback, German_shepherd"
n02113023,Pembroke,1.2688,0.1800,0.4683,"Pembroke, Cardigan, Shetland_sheepdog, Siberian_husky, malamute","EntleBucher, Dandie_Dinmont, miniature_poodle, Cardigan, Welsh_springer_spaniel","Pembroke, Cardigan, Italian_greyhound, Rhodesian_ridgeback, briard"
n02113186,Cardigan,1.3346,0.4400,0.5609,"Cardigan, Pembroke, basenji, toy_terrier, kelpie","Cardigan, EntleBucher, Dandie_Dinmont, otterhound, Border_collie","Cardigan, Pembroke, Italian_greyhound, Rhodesian_ridgeback, briard"
n02113624,toy_poodle,1.4772,0.5306,0.6075,"toy_poodle, miniature_poodle, standard_poodle, Bedlington_terrier, Kerry_blue_terrier","Dandie_Dinmont, kuvasz, West_Highland_white_terrier, chow, Eskimo_dog","toy_poodle, standard_poodle, miniature_poodle, Italian_greyhound, Rhodesian_ridgeback"
n02113712,miniature_poodle,1.4540,0.6170,0.5125,"miniature_poodle, toy_poodle, standard_poodle, Bedlington_terrier, Kerry_blue_terrier","miniature_poodle, kuvasz, Dandie_Dinmont, EntleBucher, Eskimo_dog","miniature_poodle, standard_poodle, toy_poodle, Italian_greyhound, briard"
n02113799,standard_poodle,1.7545,0.3878,0.5739,"standard_poodle, miniature_poodle, toy_poodle, Bouvier_des_Flandres, Kerry_blue_terrier","Dandie_Dinmont, EntleBucher, Tibetan_terrier, briard, Eskimo_dog","standard_poodle, miniature_poodle, toy_poodle, Italian_greyhound, briard"
n02113978,Mexican_hairless,1.9679,0.1400,0.6782,"Mexican_hairless, Chihuahua, German_short-haired_pointer, Great_Dane, kelpie","EntleBucher, Dandie_Dinmont, Rhodesian_ridgeback, cocker_spaniel, Mexican_hairless","Mexican_hairless, Italian_greyhound, briard, malinois, groenendael"
n02114367,timber_wolf,1.6945,0.3673,0.5254,"timber_wolf, red_wolf, coyote, white_wolf, grey_fox","timber_wolf, dingo, EntleBucher, red_wolf, miniature_poodle","timber_wolf, white_wolf, coyote, red_wolf, Irish_water_spaniel"
n02114548,white_wolf,1.7477,0.2000,0.4674,"white_wolf, timber_wolf, Arctic_fox, Eskimo_dog, red_wolf","white_wolf, timber_wolf, basset, Cardigan, Norfolk_terrier","white_wolf, coyote, red_wolf, timber_wolf, Brittany_spaniel"
n02114712,red_wolf,1.7134,0.5600,0.4937,"red_wolf, coyote, timber_wolf, grey_fox, red_fox","red_wolf, coyote, timber_wolf, hyena, grey_fox","red_wolf, white_wolf, coyote, timber_wolf, Sussex_spaniel"
n02114855,coyote,1.7469,0.4200,0.3581,"coyote, red_wolf, grey_fox, red_fox, timber_wolf","coyote, red_wolf, kit_fox, timber_wolf, grey_fox","coyote, white_wolf, red_wolf, timber_wolf, Irish_water_spaniel"
n02115641,dingo,1.4515,0.2917,0.4738,"dingo, dhole, kelpie, Ibizan_hound, muzzle","dingo, Rhodesian_ridgeback, EntleBucher, miniature_pinscher, Cardigan","dingo, African_hunting_dog, dhole, flat-coated_retriever, golden_retriever"
n02115913,dhole,1.8786,0.1800,0.4298,"dhole, red_wolf, coyote, dingo, red_fox","dhole, dingo, Cardigan, timber_wolf, Rhodesian_ridgeback","dhole, African_hunting_dog, dingo, flat-coated_retriever, golden_retriever"
n02116738,African_hunting_dog,1.8481,0.0408,0.5130,"African_hunting_dog, hyena, hog, warthog, dhole","African_hunting_dog, hyena, timber_wolf, kit_fox, coyote","African_hunting_dog, dhole, dingo, golden_retriever, flat-coated_retriever"
n02117135,hyena,1.6946,0.1600,0.3565,"hyena, warthog, African_hunting_dog, baboon, hog","hyena, red_wolf, grey_fox, kit_fox, African_hunting_dog","hyena, Labrador_retriever, flat-coated_retriever, golden_retriever, Chesapeake_Bay_retriever"
n02119022,red_fox,1.4916,0.4468,0.4559,"red_fox, kit_fox, coyote, grey_fox, red_wolf","red_fox, timber_wolf, coyote, Norfolk_terrier, cairn","red_fox, grey_fox, Arctic_fox, kit_fox, flat-coated_retriever"
n02119789,kit_fox,1.5122,0.4000,0.4938,"kit_fox, red_fox, grey_fox, coyote, red_wolf","kit_fox, grey_fox, coyote, mongoose, hyena","kit_fox, red_fox, grey_fox, Arctic_fox, flat-coated_retriever"
n02120079,Arctic_fox,1.9093,0.1400,0.4334,"Arctic_fox, white_wolf, ice_bear, mongoose, Siberian_husky","Dandie_Dinmont, kuvasz, Samoyed, miniature_poodle, Eskimo_dog","Arctic_fox, red_fox, grey_fox, kit_fox, flat-coated_retriever"
n02120505,grey_fox,1.9131,0.3200,0.4466,"grey_fox, coyote, red_fox, red_wolf, kit_fox","grey_fox, kit_fox, coyote, red_wolf, hyena","grey_fox, red_fox, Arctic_fox, kit_fox, flat-coated_retriever"
n02123045,tabby,0.7144,0.4400,0.6666,"tabby, tiger_cat, Egyptian_cat, lynx, Persian_cat","tabby, Egyptian_cat, Siamese_cat, tiger_cat, Persian_cat","tabby, tiger_cat, Persian_cat, Egyptian_cat, Siamese_cat"
n02123159,tiger_cat,1.0361,0.7000,0.6312,"tiger_cat, tabby, tiger, Egyptian_cat, lynx","tiger_cat, tabby, Egyptian_cat, cougar, Siamese_cat","tiger_cat, tabby, Persian_cat, Egyptian_cat, Siamese_cat"
n02123394,Persian_cat,0.8028,0.2600,0.6999,"Persian_cat, Pekinese, Pomeranian, tabby, Japanese_spaniel","Persian_cat, Siamese_cat, Egyptian_cat, tabby, Pomeranian","Persian_cat, tabby, tiger_cat, Egyptian_cat, Siamese_cat"
n02123597,Siamese_cat,1.1888,0.0600,0.6516,"Siamese_cat, Egyptian_cat, tiger_cat, tabby, lynx","Siamese_cat, tabby, Egyptian_cat, Persian_cat, tiger_cat","Siamese_cat, Egyptian_cat, tabby, tiger_cat, Persian_cat"
n02124075,Egyptian_cat,0.9734,0.5400,0.6878,"Egyptian_cat, tabby, tiger_cat, Siamese_cat, lynx","tabby, Egyptian_cat, Siamese_cat, Persian_cat, tiger_cat","Egyptian_cat, Siamese_cat, tabby, tiger_cat, Persian_cat"
n02125311,cougar,1.8936,0.2200,0.6145,"cougar, lion, lynx, warthog, Egyptian_cat","cougar, snow_leopard, jaguar, hyena, leopard","cougar, lynx, Siamese_cat, Egyptian_cat, tiger_cat"
n02127052,lynx,1.8583,0.4000,0.6047,"lynx, tabby, tiger_cat, snow_leopard, Egyptian_cat","lynx, hyena, red_wolf, cougar, African_hunting_dog","lynx, cougar, Egyptian_cat, Siamese_cat, Persian_cat"
n02128385,leopard,1.5083,0.1800,0.6162,"leopard, jaguar, cheetah, snow_leopard, lynx","leopard, jaguar, cheetah, snow_leopard, lion","leopard, lion, tiger, snow_leopard, cheetah"
n02128757,snow_leopard,1.6639,0.1800,0.6650,"snow_leopard, jaguar, lynx, leopard, tiger","snow_leopard, jaguar, leopard, cougar, cheetah","snow_leopard, lion, jaguar, tiger, cheetah"
n02128925,jaguar,1.3187,0.3265,0.7259,"jaguar, leopard, snow_leopard, lynx, tiger","jaguar, leopard, snow_leopard, cheetah, cougar","jaguar, lion, leopard, snow_leopard, tiger"
n02129165,lion,1.4120,0.1400,0.6389,"lion, cougar, warthog, Indian_elephant, tiger","lion, snow_leopard, jaguar, leopard, cougar","lion, tiger, cheetah, jaguar, snow_leopard"
n02129604,tiger,0.7405,0.1020,0.6470,"tiger, tiger_cat, lynx, snow_leopard, jaguar","tiger, snow_leopard, jaguar, leopard, cheetah","tiger, lion, snow_leopard, leopard, cheetah"
